Sensor,Característica,Min_global,Max_global,Media_global,Std_global,Mediana_global,IQR_global,Min_NoStress,Max_NoStress,Media_NoStress,Std_NoStress,Min_Stress,Max_Stress,Media_Stress,Std_Stress
ECG (chest),c_ECG_mean,-0.002873,0.004007,0.001099,0.000508,0.001138,0.000521,-0.000849,0.004007,0.001138,0.000412,-0.002873,0.003501,0.001007,0.000675
ECG (chest),c_ECG_std,0.10971,0.476084,0.263248,0.064395,0.267424,0.068638,0.10971,0.352641,0.2493,0.048569,0.127413,0.476084,0.296048,0.082664
ECG (chest),c_ECG_min,-1.5,-0.213089,-0.633074,0.243988,-0.576141,0.340027,-1.499405,-0.213089,-0.576398,0.193099,-1.5,-0.251907,-0.766343,0.294492
ECG (chest),c_ECG_max,0.769455,1.499954,1.427081,0.188991,1.499222,0.002975,0.769455,1.499954,1.426165,0.192742,0.843704,1.499954,1.429236,0.180144
ECG (chest),c_ECG_median,-0.111649,0.037033,-0.026376,0.022,-0.027054,0.02314,-0.061203,0.037033,-0.025844,0.022119,-0.111649,0.011856,-0.027626,0.021702
ECG (chest),c_ECG_range,1.043427,2.999451,2.060155,0.337799,2.038147,0.337601,1.043427,2.915131,2.002563,0.300825,1.210052,2.999451,2.195579,0.37931
ECG (chest),c_ECG_kurtosis,3.285136,32.647249,15.317211,6.069802,15.015882,7.90326,3.396506,32.647249,17.122016,5.757352,3.285136,24.965201,11.073324,4.462492
ECG (chest),c_ECG_skewness,-0.936832,5.418025,3.123762,1.201608,3.432102,1.71576,-0.936832,5.418025,3.362731,1.227702,0.461834,4.662481,2.56184,0.920693
ECG (chest),c_ECG_q25,-0.33403,-0.016537,-0.098822,0.046821,-0.089172,0.046062,-0.146896,-0.016537,-0.085912,0.02825,-0.33403,-0.035934,-0.129179,0.064543
ECG (chest),c_ECG_q75,-0.004349,0.186916,0.037904,0.032661,0.027843,0.040192,-0.004349,0.099346,0.027969,0.024287,0.008286,0.186916,0.061265,0.037594
ECG (chest),c_ECG_iqr,0.04501,0.520947,0.136726,0.069459,0.130463,0.062897,0.04501,0.215195,0.113881,0.036837,0.077133,0.520947,0.190444,0.094249
ECG (chest),c_ECG_rms,0.109718,0.476085,0.263252,0.064393,0.267426,0.068636,0.109718,0.352641,0.249303,0.048567,0.127418,0.476085,0.296051,0.082662
ECG (chest),c_ECG_zcr,0.008524,0.047762,0.018349,0.006553,0.016619,0.008333,0.008524,0.047762,0.017162,0.006271,0.011333,0.042714,0.021142,0.00636
ECG (chest),c_ECG_peak_freq,0.3,18.066667,3.686686,3.19936,2.35,3.65,0.366667,16.883333,3.379937,2.963417,0.3,18.066667,4.407987,3.598645
ECG (chest),c_ECG_spectral_energy,252.762784,4759.778435,1542.291641,730.95089,1501.831983,763.334728,252.762784,2611.463511,1354.625166,466.030275,340.917185,4759.778435,1983.577665,1002.292529
