feature,chi2_score,p_value
self_esteem,2896.821332963572,0.0
depression,2839.650025407105,0.0
anxiety_level,2023.8956035638407,0.0
sleep_quality,558.8702333771922,4.3941084571883853e-122
bullying,556.2159582163185,1.6566825586158255e-121
future_career_concerns,538.6104208396818,1.1021308699746057e-117
headache,443.6121908596041,4.686371382721971e-97
academic_performance,426.86562577911525,2.0291170727106113e-93
basic_needs,425.70208829646924,3.6304968065172216e-93
safety,419.1886037849914,9.426516883743685e-92
peer_pressure,404.76320588765645,1.278752814997427e-88
extracurricular_activities,399.4973269356602,1.779334864161429e-87
teacher_student_relationship,384.50056184922425,3.211913568822759e-84
noise_level,326.05711646548957,1.5761471712244992e-71
study_load,293.5591298018617,1.796573160568739e-64
social_support,281.88026939921866,6.172729150812034e-62
breathing_problem,263.5635047040603,5.860195950164615e-58
mental_health_history,234.80305304033942,1.0307773460795804e-51
blood_pressure,233.98366708104186,1.5527168487037213e-51
living_conditions,185.0299912716644,6.625946151021501e-41
