Característica,Fisher_Score,Rank
c_ACC_mag_zcr,1.80520724502725,1
c_ACC_mag_iqr,1.1913137854100215,2
c_ACC_mag_std,1.0117987895707363,3
c_ECG_hr_std,0.8579369432698567,4
c_RESP_q25,0.849616067802104,5
c_ECG_hr_mean,0.793547171254659,6
c_RESP_std,0.772868853103975,7
c_EDA_spectral_entropy,0.7246567308968335,8
c_ECG_kurtosis,0.6933136841516507,9
c_RESP_max,0.6585629923468903,10
c_RESP_spectral_entropy,0.6579893057290095,11
w_ACC_x_zcr,0.656929556760264,12
c_RESP_peak_freq,0.6412588016546502,13
c_EDA_scr_num_peaks,0.6335827598612284,14
c_EDA_zcr,0.6137741851444468,15
c_RESP_spectral_energy,0.6024143126989511,16
c_ECG_iqr,0.5927219789043267,17
c_ECG_q75,0.5629659493531102,18
c_ACC_mag_min,0.5536132878510095,19
c_EDA_scr_std,0.5196135020986551,20
c_RESP_iqr,0.5089583818488815,21
c_EDA_std,0.5062148348759741,22
w_BVP_zcr,0.5022568344762565,23
c_RESP_range,0.5019730444388498,24
w_EDA_scr_std,0.48060051325723346,25
c_EDA_range,0.44933342083940914,26
w_EDA_range,0.41859760835299725,27
c_EDA_iqr,0.41664766860847896,28
c_ACC_x_range,0.41569047281494204,29
w_ACC_mag_std,0.4011707746158179,30
w_EDA_std,0.3916653516039285,31
w_BVP_spectral_entropy,0.38539680505199847,32
c_ECG_q25,0.3838327431104651,33
w_TEMP_deriv_mean,0.3831130716058966,34
c_ACC_x_zcr,0.37845180511691856,35
w_ACC_mag_max,0.37072901133334996,36
c_ACC_x_max,0.3571040355194397,37
w_BVP_median,0.3545406140355776,38
w_ACC_mag_iqr,0.3511079999387216,39
w_TEMP_slope,0.35031970571749166,40
w_EDA_deriv_std,0.3483405063062996,41
c_RESP_skewness,0.3447889703036536,42
w_EDA_scr_num_peaks,0.3389235330924833,43
w_EDA_iqr,0.3273167380330786,44
w_ACC_mag_spectral_energy,0.3243852415401169,45
w_ACC_mag_peak_freq,0.317910639374466,46
w_ACC_z_rms,0.3104725993539434,47
w_ACC_mag_min,0.3033866182385558,48
c_EDA_spectral_energy,0.29425351484359036,49
c_ECG_min,0.2932002982127908,50
c_ECG_skewness,0.28331320466140913,51
c_ACC_z_range,0.2798749451152382,52
c_ACC_mag_max,0.27834272927133535,53
w_EDA_scl_std,0.27720753895235317,54
w_ACC_z_zcr,0.2753092000618172,55
c_ECG_rr_std,0.2741558828511533,56
w_EDA_mean,0.2740239970628492,57
w_ACC_mag_zcr,0.27340576739544165,58
w_ACC_y_zcr,0.2688560213343758,59
c_ECG_rmssd,0.268092962007554,60
c_ACC_z_zcr,0.2411687729935473,61
c_RESP_median,0.23826750489885715,62
c_ECG_std,0.23732723578704096,63
c_ACC_y_max,0.22855524044535505,64
c_RESP_min,0.21977469992592358,65
c_ECG_zcr,0.2082013841008383,66
c_ACC_y_range,0.20354173214000867,67
c_ACC_z_max,0.195751406052925,68
w_EDA_spectral_energy,0.17005978280408465,69
c_ACC_mag_mean,0.16099797220503312,70
w_ACC_z_min,0.16057499758021984,71
c_RESP_q75,0.1594274608896086,72
c_ECG_range,0.15870442795990936,73
