feature,mutual_info,chi2_score,chi2_p_value,rank_mutual_info,rank_chi2
blood_pressure,0.7552705723735847,233.98366708104186,1.5527168487037213e-51,1.0,19.0
depression,0.6848568661487218,2839.650025407105,0.0,2.0,2.0
sleep_quality,0.6816377948822022,558.8702333771922,4.3941084571883853e-122,3.0,4.0
future_career_concerns,0.6812685112397907,538.6104208396818,1.1021308699746057e-117,4.0,6.0
anxiety_level,0.6666906689892363,2023.8956035638407,0.0,5.0,3.0
bullying,0.6664266686072575,556.2159582163185,1.6566825586158255e-121,6.0,5.0
self_esteem,0.6608364424000702,2896.821332963572,0.0,7.0,1.0
headache,0.5789011226292461,443.6121908596041,4.686371382721971e-97,8.0,7.0
social_support,0.5330472021831009,281.88026939921866,6.172729150812034e-62,9.0,16.0
teacher_student_relationship,0.5302869001153495,384.50056184922425,3.211913568822759e-84,10.0,13.0
academic_performance,0.5291218094011612,426.86562577911525,2.0291170727106113e-93,11.0,8.0
extracurricular_activities,0.5284190946361278,399.4973269356602,1.779334864161429e-87,12.0,12.0
basic_needs,0.520585300599865,425.70208829646924,3.6304968065172216e-93,13.0,9.0
safety,0.5067541012520751,419.1886037849914,9.426516883743685e-92,14.0,10.0
peer_pressure,0.4976901908822838,404.76320588765645,1.278752814997427e-88,15.0,11.0
noise_level,0.4254167858927493,326.05711646548957,1.5761471712244992e-71,16.0,14.0
living_conditions,0.40364102346186614,185.0299912716644,6.625946151021501e-41,17.0,20.0
study_load,0.39445149230106735,293.5591298018617,1.796573160568739e-64,18.0,15.0
breathing_problem,0.3698703228703709,263.5635047040603,5.860195950164615e-58,19.0,17.0
mental_health_history,0.2407960921549633,234.80305304033942,1.0307773460795804e-51,20.0,18.0
