columna,tipo,unicos,minimo,maximo
anxiety_level,predictor ordinal/categorico,22,0,21
self_esteem,predictor ordinal/categorico,31,0,30
mental_health_history,predictor ordinal/categorico,2,0,1
depression,predictor ordinal/categorico,28,0,27
headache,predictor ordinal/categorico,6,0,5
blood_pressure,predictor ordinal/categorico,3,1,3
sleep_quality,predictor ordinal/categorico,6,0,5
breathing_problem,predictor ordinal/categorico,6,0,5
noise_level,predictor ordinal/categorico,6,0,5
living_conditions,predictor ordinal/categorico,6,0,5
safety,predictor ordinal/categorico,6,0,5
basic_needs,predictor ordinal/categorico,6,0,5
academic_performance,predictor ordinal/categorico,6,0,5
study_load,predictor ordinal/categorico,6,0,5
teacher_student_relationship,predictor ordinal/categorico,6,0,5
future_career_concerns,predictor ordinal/categorico,6,0,5
social_support,predictor ordinal/categorico,4,0,3
peer_pressure,predictor ordinal/categorico,6,0,5
extracurricular_activities,predictor ordinal/categorico,6,0,5
bullying,predictor ordinal/categorico,6,0,5
stress_level,target ordinal,3,0,2
